,Estrato,Genero,Promedio del Puntaje
0,1-2,Femenino,0.7140041967127185
1,1-2,Masculino,0.7132510082702271
2,3-4,Femenino,0.733131623704465
3,3-4,Masculino,0.7332408220329484
4,5-6,Femenino,0.7386714005419043
5,5-6,Masculino,0.6842525979216626
