,Género,Nivel,Tipo de test,Valor
137,Femenino,Inicial,Pretest,91.62569145666872
138,Masculino,Inicial,Pretest,91.62569145666872
139,Femenino,Inicial,Pretest,91.62569145666872
140,Masculino,Avanzado,Pretest,91.62569145666872
141,Masculino,Inicial,Pretest,91.62569145666872
142,Masculino,Inicial,Pretest,91.62569145666872
143,Masculino,Inicial,Pretest,91.62569145666872
144,Masculino,Inicial,Pretest,91.62569145666872
145,Masculino,Inicial,Pretest,91.62569145666872
146,Masculino,Avanzado,Pretest,91.62569145666872
147,Masculino,Avanzado,Pretest,91.62569145666872
148,Femenino,Inicial,Pretest,91.62569145666872
149,Femenino,Inicial,Pretest,91.62569145666872
150,Masculino,Inicial,Pretest,91.62569145666872
151,Masculino,Inicial,Pretest,91.62569145666872
152,Masculino,Inicial,Pretest,91.62569145666872
153,Femenino,Inicial,Pretest,91.60264290104487
154,Masculino,Inicial,Pretest,91.16472034419176
155,Masculino,Avanzado,Pretest,90.88045482483096
156,Masculino,Inicial,Pretest,90.88045482483096
157,Femenino,Inicial,Pretest,90.88045482483096
158,Femenino,Inicial,Pretest,90.88045482483096
159,Masculino,Inicial,Pretest,90.47326367547635
160,Masculino,Inicial,Pretest,90.37338660110633
161,Masculino,Inicial,Pretest,90.37338660110633
162,Masculino,Avanzado,Pretest,90.37338660110633
163,Masculino,Inicial,Pretest,89.92009834050398
164,Masculino,Inicial,Pretest,89.69729563614013
165,Masculino,Avanzado,Pretest,89.41303011677934
166,Masculino,Inicial,Pretest,89.41303011677934
167,Masculino,Inicial,Pretest,89.41303011677934
168,Masculino,Inicial,Pretest,89.41303011677934
169,Femenino,Inicial,Pretest,89.41303011677934
170,Masculino,Avanzado,Pretest,89.41303011677934
171,Masculino,Inicial,Pretest,89.41303011677934
172,Masculino,Avanzado,Pretest,89.41303011677934
173,Masculino,Inicial,Pretest,89.41303011677934
174,Masculino,Inicial,Pretest,89.41303011677934
175,Masculino,Inicial,Pretest,89.41303011677934
176,Masculino,Inicial,Pretest,89.32083589428396
177,Femenino,Inicial,Pretest,89.32083589428396
178,Femenino,Inicial,Pretest,89.32083589428396
179,Masculino,Inicial,Pretest,89.12108174554393
180,Masculino,Inicial,Pretest,89.12108174554393
181,Masculino,Avanzado,Pretest,89.12108174554393
182,Femenino,Inicial,Pretest,89.12108174554393
183,Masculino,Inicial,Pretest,89.12108174554393
184,Masculino,Inicial,Pretest,89.12108174554393
185,Masculino,Inicial,Pretest,89.12108174554393
186,Masculino,Inicial,Pretest,89.12108174554393
187,Masculino,Inicial,Pretest,89.12108174554393
188,Femenino,Avanzado,Pretest,89.12108174554393
189,Femenino,Inicial,Pretest,89.12108174554393
190,Femenino,Avanzado,Pretest,89.12108174554393
191,Femenino,Inicial,Pretest,89.12108174554393
192,Femenino,Inicial,Pretest,89.12108174554393
193,Femenino,Inicial,Pretest,89.12108174554393
194,Femenino,Avanzado,Pretest,88.98279041180085
195,Femenino,Avanzado,Pretest,88.9059618930547
196,Femenino,Inicial,Pretest,88.9059618930547
197,Masculino,Inicial,Pretest,88.9059618930547
198,Masculino,Inicial,Pretest,88.9059618930547
199,Masculino,Inicial,Pretest,88.9059618930547
200,Masculino,Avanzado,Pretest,88.9059618930547
201,Femenino,Avanzado,Pretest,88.9059618930547
202,Femenino,Inicial,Pretest,88.9059618930547
203,Masculino,Inicial,Pretest,88.45267363245236
204,Masculino,Avanzado,Pretest,88.45267363245236
205,Masculino,Inicial,Pretest,88.45267363245236
206,Masculino,Inicial,Pretest,88.45267363245236
207,Masculino,Avanzado,Pretest,88.26060233558697
208,Femenino,Inicial,Pretest,88.16840811309157
209,Masculino,Inicial,Pretest,87.94560540872772
210,Masculino,Inicial,Pretest,87.94560540872772
211,Masculino,Inicial,Pretest,87.94560540872772
212,Femenino,Inicial,Pretest,87.94560540872772
213,Masculino,Inicial,Pretest,87.94560540872772
214,Femenino,Inicial,Pretest,87.94560540872772
215,Masculino,Avanzado,Pretest,87.75353411186232
216,Femenino,Avanzado,Pretest,87.65365703749231
217,Masculino,Inicial,Pretest,87.43853718500307
218,Masculino,Inicial,Pretest,87.43853718500307
219,Masculino,Inicial,Pretest,87.43853718500307
220,Femenino,Avanzado,Pretest,87.43853718500307
221,Masculino,Inicial,Pretest,87.43853718500307
222,Masculino,Inicial,Pretest,87.43853718500307
223,Masculino,Inicial,Pretest,87.41548862937923
224,Masculino,Inicial,Pretest,87.20036877688997
225,Femenino,Inicial,Pretest,87.20036877688997
226,Masculino,Inicial,Pretest,87.20036877688997
227,Masculino,Inicial,Pretest,86.79317762753534
228,Masculino,Avanzado,Pretest,86.73939766441302
229,Masculino,Inicial,Pretest,86.69330055316533
230,Masculino,Avanzado,Pretest,86.69330055316533
231,Masculino,Inicial,Pretest,86.69330055316533
232,Masculino,Inicial,Pretest,86.69330055316533
233,Femenino,Inicial,Pretest,86.69330055316533
234,Masculino,Inicial,Pretest,86.69330055316533
235,Masculino,Inicial,Pretest,86.45513214505225
236,Masculino,Avanzado,Pretest,86.45513214505225
237,Femenino,Inicial,Pretest,86.21696373693914
238,Masculino,Avanzado,Pretest,86.1862323294407
239,Masculino,Inicial,Pretest,86.1862323294407
240,Femenino,Avanzado,Pretest,86.1862323294407
241,Femenino,Inicial,Pretest,86.1862323294407
242,Masculino,Inicial,Pretest,86.1862323294407
243,Masculino,Avanzado,Pretest,86.01720958819912
244,Femenino,Inicial,Pretest,86.01720958819912
245,Femenino,Inicial,Pretest,86.0018438844499
246,Masculino,Inicial,Pretest,85.73294406883835
247,Masculino,Inicial,Pretest,85.73294406883835
248,Masculino,Inicial,Pretest,85.73294406883835
249,Masculino,Inicial,Pretest,85.73294406883835
250,Masculino,Inicial,Pretest,85.72526121696373
251,Masculino,Inicial,Pretest,85.51014136447449
252,Masculino,Inicial,Pretest,85.44099569760294
253,Masculino,Inicial,Pretest,85.44099569760294
254,Masculino,Inicial,Pretest,85.44099569760294
255,Femenino,Inicial,Pretest,85.27965580823601
256,Masculino,Inicial,Pretest,85.27965580823601
257,Masculino,Avanzado,Pretest,85.27965580823601
258,Masculino,Inicial,Pretest,85.27965580823601
259,Masculino,Inicial,Pretest,85.27965580823601
260,Femenino,Inicial,Pretest,85.27965580823601
261,Femenino,Inicial,Pretest,85.27965580823601
262,Masculino,Inicial,Pretest,85.27965580823601
263,Femenino,Inicial,Pretest,85.22587584511369
264,Masculino,Avanzado,Pretest,85.22587584511369
265,Masculino,Avanzado,Pretest,85.22587584511369
266,Masculino,Inicial,Pretest,85.22587584511369
267,Femenino,Inicial,Pretest,85.22587584511369
268,Masculino,Inicial,Pretest,85.22587584511369
269,Masculino,Inicial,Pretest,84.9339274738783
270,Masculino,Inicial,Pretest,84.9339274738783
271,Masculino,Inicial,Pretest,84.9339274738783
272,Femenino,Inicial,Pretest,84.71880762138906
273,Femenino,Inicial,Pretest,84.71880762138906
274,Femenino,Avanzado,Pretest,84.48063921327598
275,Masculino,Inicial,Pretest,84.3577135832821
276,Masculino,Inicial,Pretest,84.26551936078673
277,Masculino,Inicial,Pretest,84.26551936078673
278,Masculino,Inicial,Pretest,84.26551936078673
279,Masculino,Inicial,Pretest,84.26551936078673
280,Femenino,Inicial,Pretest,84.26551936078673
281,Masculino,Inicial,Pretest,84.26551936078673
282,Masculino,Inicial,Pretest,84.2578365089121
283,Femenino,Inicial,Pretest,84.2578365089121
284,Masculino,Inicial,Pretest,84.2578365089121
285,Masculino,Inicial,Pretest,84.24247080516287
286,Femenino,Inicial,Pretest,84.07344806392133
287,Masculino,Inicial,Pretest,83.97357098955132
288,Masculino,Inicial,Pretest,83.97357098955132
289,Masculino,Avanzado,Pretest,83.97357098955132
290,Masculino,Inicial,Pretest,83.80454824830977
291,Femenino,Inicial,Pretest,83.75845113706207
292,Masculino,Avanzado,Pretest,83.73540258143822
293,Masculino,Inicial,Pretest,83.46650276582666
294,Femenino,Avanzado,Pretest,83.29748002458511
295,Masculino,Inicial,Pretest,83.25138291333744
296,Masculino,Inicial,Pretest,83.25138291333744
297,Femenino,Inicial,Pretest,83.25138291333744
298,Femenino,Inicial,Pretest,83.25138291333744
299,Masculino,Inicial,Pretest,83.25138291333744
300,Masculino,Inicial,Pretest,83.25138291333744
301,Masculino,Inicial,Pretest,83.25138291333744
302,Masculino,Inicial,Pretest,83.25138291333744
303,Femenino,Inicial,Pretest,83.25138291333744
304,Femenino,Inicial,Pretest,83.25138291333744
305,Femenino,Inicial,Pretest,83.25138291333744
306,Femenino,Inicial,Pretest,83.25138291333744
307,Femenino,Inicial,Pretest,83.25138291333744
308,Masculino,Inicial,Pretest,83.25138291333744
309,Femenino,Inicial,Pretest,83.25138291333744
310,Femenino,Inicial,Pretest,83.25138291333744
311,Femenino,Inicial,Pretest,83.25138291333744
312,Masculino,Inicial,Pretest,83.25138291333744
313,Femenino,Inicial,Pretest,83.25138291333744
314,Femenino,Inicial,Pretest,83.25138291333744
315,Femenino,Avanzado,Pretest,83.25138291333744
316,Femenino,Inicial,Pretest,83.25138291333744
317,Femenino,Inicial,Pretest,83.25138291333744
318,Masculino,Inicial,Pretest,83.25138291333744
319,Femenino,Inicial,Pretest,83.25138291333744
320,Femenino,Inicial,Pretest,83.25138291333744
321,Femenino,Inicial,Pretest,83.25138291333744
322,Femenino,Inicial,Pretest,83.25138291333744
323,Femenino,Inicial,Pretest,83.25138291333744
324,Femenino,Inicial,Pretest,83.25138291333744
325,Femenino,Inicial,Pretest,83.25138291333744
326,Masculino,Inicial,Pretest,83.25138291333744
327,Femenino,Inicial,Pretest,83.25138291333744
328,Masculino,Inicial,Pretest,83.25138291333744
329,Femenino,Inicial,Pretest,83.22833435771358
330,Masculino,Avanzado,Pretest,83.11309157959435
331,Masculino,Inicial,Pretest,83.04394591272278
332,Masculino,Inicial,Pretest,83.01321450522434
333,Masculino,Inicial,Pretest,83.01321450522434
334,Masculino,Inicial,Pretest,83.01321450522434
335,Masculino,Inicial,Pretest,83.01321450522434
336,Masculino,Inicial,Pretest,82.79041180086047
337,Masculino,Inicial,Pretest,82.77504609711126
338,Masculino,Inicial,Pretest,82.50614628149968
339,Masculino,Inicial,Pretest,82.50614628149968
340,Masculino,Inicial,Pretest,82.50614628149968
341,Masculino,Inicial,Pretest,82.50614628149968
342,Masculino,Inicial,Pretest,82.32944068838354
343,Femenino,Inicial,Pretest,82.32944068838354
344,Masculino,Avanzado,Pretest,82.14505224339274
345,Masculino,Inicial,Pretest,82.05285802089735
346,Masculino,Inicial,Pretest,82.05285802089735
347,Masculino,Inicial,Pretest,81.99907805777504
348,Masculino,Inicial,Pretest,81.83005531653347
349,Femenino,Inicial,Pretest,81.83005531653347
350,Masculino,Inicial,Pretest,81.76090964966195
351,Masculino,Inicial,Pretest,81.76090964966195
352,Masculino,Inicial,Pretest,81.76090964966195
353,Masculino,Inicial,Pretest,81.76090964966195
354,Masculino,Inicial,Pretest,81.5457897971727
355,Femenino,Inicial,Pretest,81.5457897971727
356,Masculino,Avanzado,Pretest,81.5457897971727
357,Masculino,Inicial,Pretest,81.5457897971727
358,Masculino,Inicial,Pretest,81.5457897971727
359,Femenino,Inicial,Pretest,81.5457897971727
360,Masculino,Inicial,Pretest,81.35371850030731
361,Femenino,Inicial,Pretest,81.32298709280884
362,Masculino,Inicial,Pretest,81.25384142593731
363,Masculino,Inicial,Pretest,81.25384142593731
364,Masculino,Inicial,Pretest,81.25384142593731
365,Masculino,Avanzado,Pretest,81.0617701290719
366,Masculino,Inicial,Pretest,81.03872157344804
367,Masculino,Inicial,Pretest,80.94652735095266
368,Femenino,Inicial,Pretest,80.94652735095266
369,Masculino,Inicial,Pretest,80.74677320221267
370,Masculino,Inicial,Pretest,80.74677320221267
371,Masculino,Inicial,Pretest,80.74677320221267
372,Masculino,Inicial,Pretest,80.74677320221267
373,Masculino,Inicial,Pretest,80.74677320221267
374,Femenino,Inicial,Pretest,80.74677320221267
375,Masculino,Inicial,Pretest,80.74677320221267
376,Masculino,Inicial,Pretest,80.74677320221267
377,Masculino,Avanzado,Pretest,80.60848186846957
378,Masculino,Inicial,Pretest,80.5777504609711
379,Masculino,Inicial,Pretest,80.5777504609711
380,Masculino,Avanzado,Pretest,80.5777504609711
381,Femenino,Inicial,Pretest,80.53165334972341
382,Masculino,Inicial,Pretest,80.53165334972341
383,Masculino,Inicial,Pretest,80.40872771972955
384,Masculino,Avanzado,Pretest,80.33958205285802
385,Masculino,Inicial,Pretest,80.29348494161032
386,Masculino,Inicial,Pretest,80.29348494161032
387,Masculino,Avanzado,Pretest,80.29348494161032
388,Femenino,Inicial,Pretest,80.27043638598647
389,Masculino,Inicial,Pretest,80.20129071911494
390,Masculino,Inicial,Pretest,80.07836508912108
391,Masculino,Inicial,Pretest,80.07836508912108
392,Femenino,Inicial,Pretest,80.07068223724647
393,Masculino,Inicial,Pretest,80.07068223724647
394,Masculino,Inicial,Pretest,80.07068223724647
395,Masculino,Inicial,Pretest,80.05531653349723
396,Masculino,Inicial,Pretest,79.90165949600491
397,Masculino,Inicial,Pretest,79.88629379225569
398,Masculino,Inicial,Pretest,79.88629379225569
399,Femenino,Inicial,Pretest,79.88629379225569
400,Masculino,Avanzado,Pretest,79.88629379225569
401,Femenino,Inicial,Pretest,79.83251382913338
402,Masculino,Avanzado,Pretest,79.78641671788567
403,Masculino,Inicial,Pretest,79.78641671788567
404,Masculino,Avanzado,Pretest,79.78641671788567
405,Masculino,Inicial,Pretest,79.61739397664412
406,Masculino,Inicial,Pretest,79.59434542102028
407,Femenino,Inicial,Pretest,79.39459127228027
408,Masculino,Inicial,Pretest,79.39459127228027
409,Femenino,Inicial,Pretest,79.39459127228027
410,Femenino,Inicial,Pretest,79.27934849416103
411,Masculino,Inicial,Pretest,79.11032575291948
412,Masculino,Inicial,Pretest,79.11032575291948
413,Masculino,Inicial,Pretest,79.11032575291948
414,Masculino,Inicial,Pretest,79.11032575291948
415,Masculino,Inicial,Pretest,79.11032575291948
416,Masculino,Avanzado,Pretest,79.11032575291948
417,Masculino,Avanzado,Pretest,78.91825445605409
418,Masculino,Inicial,Pretest,78.82606023355869
419,Masculino,Inicial,Pretest,78.82606023355869
420,Femenino,Inicial,Pretest,78.82606023355869
421,Masculino,Avanzado,Pretest,78.82606023355869
422,Masculino,Inicial,Pretest,78.82606023355869
423,Masculino,Avanzado,Pretest,78.82606023355869
424,Masculino,Avanzado,Pretest,78.82606023355869
425,Masculino,Inicial,Pretest,78.82606023355869
426,Masculino,Inicial,Pretest,78.82606023355869
427,Masculino,Inicial,Pretest,78.82606023355869
428,Masculino,Inicial,Pretest,78.82606023355869
429,Masculino,Inicial,Pretest,78.82606023355869
430,Masculino,Inicial,Pretest,78.82606023355869
431,Masculino,Inicial,Pretest,78.82606023355869
432,Masculino,Inicial,Pretest,78.82606023355869
433,Masculino,Inicial,Pretest,78.82606023355869
434,Masculino,Inicial,Pretest,78.82606023355869
435,Femenino,Inicial,Pretest,78.82606023355869
