,Nivel,Tipo de test,Valor
176,Inicial,Pretest,87.94560540872772
177,Inicial,Pretest,87.43853718500307
178,Inicial,Pretest,87.43853718500307
179,Inicial,Pretest,87.43853718500307
180,Inicial,Pretest,87.43853718500307
181,Inicial,Pretest,87.43853718500307
182,Inicial,Pretest,87.41548862937923
183,Inicial,Pretest,87.20036877688997
184,Inicial,Pretest,87.20036877688997
185,Inicial,Pretest,87.20036877688997
186,Inicial,Pretest,86.79317762753534
187,Inicial,Pretest,86.69330055316533
188,Inicial,Pretest,86.69330055316533
189,Inicial,Pretest,86.69330055316533
190,Inicial,Pretest,86.69330055316533
191,Inicial,Pretest,86.69330055316533
192,Inicial,Pretest,86.45513214505225
193,Inicial,Pretest,86.21696373693914
194,Inicial,Pretest,86.1862323294407
195,Inicial,Pretest,86.1862323294407
196,Inicial,Pretest,86.1862323294407
197,Inicial,Pretest,86.01720958819912
198,Inicial,Pretest,86.0018438844499
199,Inicial,Pretest,85.73294406883835
200,Inicial,Pretest,85.73294406883835
201,Inicial,Pretest,85.73294406883835
202,Inicial,Pretest,85.73294406883835
203,Inicial,Pretest,85.72526121696373
204,Inicial,Pretest,85.51014136447449
205,Inicial,Pretest,85.44099569760294
206,Inicial,Pretest,85.44099569760294
207,Inicial,Pretest,85.44099569760294
208,Inicial,Pretest,85.27965580823601
209,Inicial,Pretest,85.27965580823601
210,Inicial,Pretest,85.27965580823601
211,Inicial,Pretest,85.27965580823601
212,Inicial,Pretest,85.27965580823601
213,Inicial,Pretest,85.27965580823601
214,Inicial,Pretest,85.27965580823601
215,Inicial,Pretest,85.22587584511369
216,Inicial,Pretest,85.22587584511369
217,Inicial,Pretest,85.22587584511369
218,Inicial,Pretest,85.22587584511369
219,Inicial,Pretest,84.9339274738783
220,Inicial,Pretest,84.9339274738783
221,Inicial,Pretest,84.9339274738783
222,Inicial,Pretest,84.71880762138906
223,Inicial,Pretest,84.71880762138906
224,Inicial,Pretest,84.3577135832821
225,Inicial,Pretest,84.26551936078673
226,Inicial,Pretest,84.26551936078673
227,Inicial,Pretest,84.26551936078673
228,Inicial,Pretest,84.26551936078673
229,Inicial,Pretest,84.26551936078673
230,Inicial,Pretest,84.26551936078673
231,Inicial,Pretest,84.2578365089121
232,Inicial,Pretest,84.2578365089121
233,Inicial,Pretest,84.2578365089121
234,Inicial,Pretest,84.24247080516287
235,Inicial,Pretest,84.07344806392133
236,Inicial,Pretest,83.97357098955132
237,Inicial,Pretest,83.97357098955132
238,Inicial,Pretest,83.80454824830977
239,Inicial,Pretest,83.75845113706207
240,Inicial,Pretest,83.46650276582666
241,Inicial,Pretest,83.25138291333744
242,Inicial,Pretest,83.25138291333744
243,Inicial,Pretest,83.25138291333744
244,Inicial,Pretest,83.25138291333744
245,Inicial,Pretest,83.25138291333744
246,Inicial,Pretest,83.25138291333744
247,Inicial,Pretest,83.25138291333744
248,Inicial,Pretest,83.25138291333744
249,Inicial,Pretest,83.25138291333744
250,Inicial,Pretest,83.25138291333744
251,Inicial,Pretest,83.25138291333744
252,Inicial,Pretest,83.25138291333744
253,Inicial,Pretest,83.25138291333744
254,Inicial,Pretest,83.25138291333744
255,Inicial,Pretest,83.25138291333744
256,Inicial,Pretest,83.25138291333744
257,Inicial,Pretest,83.25138291333744
258,Inicial,Pretest,83.25138291333744
259,Inicial,Pretest,83.25138291333744
260,Inicial,Pretest,83.25138291333744
261,Inicial,Pretest,83.25138291333744
262,Inicial,Pretest,83.25138291333744
263,Inicial,Pretest,83.25138291333744
264,Inicial,Pretest,83.25138291333744
265,Inicial,Pretest,83.25138291333744
266,Inicial,Pretest,83.25138291333744
267,Inicial,Pretest,83.25138291333744
268,Inicial,Pretest,83.25138291333744
269,Inicial,Pretest,83.25138291333744
270,Inicial,Pretest,83.25138291333744
271,Inicial,Pretest,83.25138291333744
272,Inicial,Pretest,83.25138291333744
273,Inicial,Pretest,83.25138291333744
274,Inicial,Pretest,83.22833435771358
275,Inicial,Pretest,83.04394591272278
276,Inicial,Pretest,83.01321450522434
277,Inicial,Pretest,83.01321450522434
278,Inicial,Pretest,83.01321450522434
279,Inicial,Pretest,83.01321450522434
280,Inicial,Pretest,82.79041180086047
281,Inicial,Pretest,82.77504609711126
282,Inicial,Pretest,82.50614628149968
283,Inicial,Pretest,82.50614628149968
284,Inicial,Pretest,82.50614628149968
285,Inicial,Pretest,82.50614628149968
286,Inicial,Pretest,82.32944068838354
287,Inicial,Pretest,82.32944068838354
288,Inicial,Pretest,82.05285802089735
289,Inicial,Pretest,82.05285802089735
290,Inicial,Pretest,81.99907805777504
291,Inicial,Pretest,81.83005531653347
292,Inicial,Pretest,81.83005531653347
293,Inicial,Pretest,81.76090964966195
294,Inicial,Pretest,81.76090964966195
295,Inicial,Pretest,81.76090964966195
296,Inicial,Pretest,81.76090964966195
297,Inicial,Pretest,81.5457897971727
298,Inicial,Pretest,81.5457897971727
299,Inicial,Pretest,81.5457897971727
300,Inicial,Pretest,81.5457897971727
301,Inicial,Pretest,81.5457897971727
302,Inicial,Pretest,81.35371850030731
303,Inicial,Pretest,81.32298709280884
304,Inicial,Pretest,81.25384142593731
305,Inicial,Pretest,81.25384142593731
306,Inicial,Pretest,81.25384142593731
307,Inicial,Pretest,81.03872157344804
308,Inicial,Pretest,80.94652735095266
309,Inicial,Pretest,80.94652735095266
310,Inicial,Pretest,80.74677320221267
311,Inicial,Pretest,80.74677320221267
312,Inicial,Pretest,80.74677320221267
313,Inicial,Pretest,80.74677320221267
314,Inicial,Pretest,80.74677320221267
315,Inicial,Pretest,80.74677320221267
316,Inicial,Pretest,80.74677320221267
317,Inicial,Pretest,80.74677320221267
318,Inicial,Pretest,80.5777504609711
319,Inicial,Pretest,80.5777504609711
320,Inicial,Pretest,80.53165334972341
321,Inicial,Pretest,80.53165334972341
322,Inicial,Pretest,80.40872771972955
323,Inicial,Pretest,80.29348494161032
324,Inicial,Pretest,80.29348494161032
325,Inicial,Pretest,80.27043638598647
326,Inicial,Pretest,80.20129071911494
327,Inicial,Pretest,80.07836508912108
328,Inicial,Pretest,80.07836508912108
329,Inicial,Pretest,80.07068223724647
330,Inicial,Pretest,80.07068223724647
331,Inicial,Pretest,80.07068223724647
332,Inicial,Pretest,80.05531653349723
333,Inicial,Pretest,79.90165949600491
334,Inicial,Pretest,79.88629379225569
335,Inicial,Pretest,79.88629379225569
336,Inicial,Pretest,79.88629379225569
337,Inicial,Pretest,79.83251382913338
338,Inicial,Pretest,79.78641671788567
339,Inicial,Pretest,79.61739397664412
340,Inicial,Pretest,79.59434542102028
341,Inicial,Pretest,79.39459127228027
342,Inicial,Pretest,79.39459127228027
343,Inicial,Pretest,79.39459127228027
344,Inicial,Pretest,79.27934849416103
345,Inicial,Pretest,79.11032575291948
346,Inicial,Pretest,79.11032575291948
347,Inicial,Pretest,79.11032575291948
348,Inicial,Pretest,79.11032575291948
349,Inicial,Pretest,79.11032575291948
350,Inicial,Pretest,78.82606023355869
351,Inicial,Pretest,78.82606023355869
352,Inicial,Pretest,78.82606023355869
353,Inicial,Pretest,78.82606023355869
354,Inicial,Pretest,78.82606023355869
355,Inicial,Pretest,78.82606023355869
356,Inicial,Pretest,78.82606023355869
357,Inicial,Pretest,78.82606023355869
358,Inicial,Pretest,78.82606023355869
359,Inicial,Pretest,78.82606023355869
360,Inicial,Pretest,78.82606023355869
361,Inicial,Pretest,78.82606023355869
362,Inicial,Pretest,78.82606023355869
363,Inicial,Pretest,78.82606023355869
364,Inicial,Pretest,78.82606023355869
365,Inicial,Pretest,78.82606023355869
366,Inicial,Pretest,78.82606023355869
367,Inicial,Pretest,78.81837738168407
368,Inicial,Pretest,78.7338660110633
369,Inicial,Pretest,78.64935464044254
370,Inicial,Pretest,78.64167178856792
371,Inicial,Pretest,78.37277197295636
372,Inicial,Pretest,78.31899200983405
373,Inicial,Pretest,78.24216349108791
374,Inicial,Pretest,78.14996926859249
375,Inicial,Pretest,78.1422864167179
376,Inicial,Pretest,78.1422864167179
377,Inicial,Pretest,77.95789797172709
378,Inicial,Pretest,77.95789797172709
379,Inicial,Pretest,77.95789797172709
380,Inicial,Pretest,77.8657037492317
381,Inicial,Pretest,77.85802089735708
382,Inicial,Pretest,77.8119237861094
383,Inicial,Pretest,77.8119237861094
384,Inicial,Pretest,77.8119237861094
385,Inicial,Pretest,77.71972956361401
386,Inicial,Pretest,77.67363245236632
387,Inicial,Pretest,77.5737553779963
388,Inicial,Pretest,77.5737553779963
389,Inicial,Pretest,77.5737553779963
390,Inicial,Pretest,77.5737553779963
391,Inicial,Pretest,77.5737553779963
392,Inicial,Pretest,77.45082974800246
393,Inicial,Pretest,77.45082974800246
394,Inicial,Pretest,77.45082974800246
395,Inicial,Pretest,77.38168408113091
396,Inicial,Pretest,77.35863552550705
397,Inicial,Pretest,77.35095267363245
398,Inicial,Pretest,77.21266133988935
399,Inicial,Pretest,77.1819299323909
400,Inicial,Pretest,77.16656422864168
401,Inicial,Pretest,77.16656422864168
402,Inicial,Pretest,77.09741856177013
403,Inicial,Pretest,77.08973570989552
404,Inicial,Pretest,77.07437000614628
405,Inicial,Pretest,77.06668715427168
406,Inicial,Pretest,77.06668715427168
407,Inicial,Pretest,76.98985863552551
408,Inicial,Pretest,76.92839582052858
409,Inicial,Pretest,76.90534726490473
410,Inicial,Pretest,76.89766441303011
411,Inicial,Pretest,76.89766441303011
412,Inicial,Pretest,76.89766441303011
413,Inicial,Pretest,76.85156730178241
414,Inicial,Pretest,76.82851874615857
415,Inicial,Pretest,76.80547019053473
416,Inicial,Pretest,76.80547019053473
417,Inicial,Pretest,76.71327596803933
418,Inicial,Pretest,76.67486170866627
419,Inicial,Pretest,76.59035033804548
420,Inicial,Pretest,76.55961893054702
421,Inicial,Pretest,76.55961893054702
422,Inicial,Pretest,76.55961893054702
423,Inicial,Pretest,76.39059618930547
424,Inicial,Pretest,76.39059618930547
425,Inicial,Pretest,76.22157344806392
426,Inicial,Pretest,76.1140135218193
427,Inicial,Pretest,76.10633066994468
428,Inicial,Pretest,76.10633066994468
429,Inicial,Pretest,76.10633066994468
430,Inicial,Pretest,76.08328211432084
431,Inicial,Pretest,76.0141364474493
432,Inicial,Pretest,75.93730792870312
433,Inicial,Pretest,75.89121081745544
434,Inicial,Pretest,75.89121081745544
435,Inicial,Pretest,75.89121081745544
436,Inicial,Pretest,75.89121081745544
437,Inicial,Pretest,75.88352796558084
438,Inicial,Pretest,75.8681622618316
439,Inicial,Pretest,75.8681622618316
440,Inicial,Pretest,75.8681622618316
441,Inicial,Pretest,75.74523663183774
442,Inicial,Pretest,75.71450522433926
443,Inicial,Pretest,75.71450522433926
444,Inicial,Pretest,75.65304240934235
445,Inicial,Pretest,75.59926244622004
446,Inicial,Pretest,75.59926244622004
447,Inicial,Pretest,75.59926244622004
448,Inicial,Pretest,75.5377996312231
449,Inicial,Pretest,75.5377996312231
450,Inicial,Pretest,75.50706822372464
451,Inicial,Pretest,75.43023970497849
452,Inicial,Pretest,75.40719114935463
453,Inicial,Pretest,75.25353411186232
454,Inicial,Pretest,75.23816840811308
455,Inicial,Pretest,75.23816840811308
456,Inicial,Pretest,75.23816840811308
457,Inicial,Pretest,75.16902274124155
458,Inicial,Pretest,75.14597418561769
459,Inicial,Pretest,74.99999999999999
460,Inicial,Pretest,74.99999999999999
461,Inicial,Pretest,74.99999999999999
462,Inicial,Pretest,74.99999999999999
463,Inicial,Pretest,74.99999999999999
464,Inicial,Pretest,74.99999999999999
465,Inicial,Pretest,74.99999999999999
466,Inicial,Pretest,74.99999999999999
467,Inicial,Pretest,74.99999999999999
468,Inicial,Pretest,74.99999999999999
469,Inicial,Pretest,74.99999999999999
470,Inicial,Pretest,74.99999999999999
471,Inicial,Pretest,74.99999999999999
472,Inicial,Pretest,74.96926859250155
473,Inicial,Pretest,74.92317148125383
474,Inicial,Pretest,74.83097725875845
475,Inicial,Pretest,74.78488014751076
476,Inicial,Pretest,74.71573448063921
477,Inicial,Pretest,74.7080516287646
478,Inicial,Pretest,74.63890596189306
479,Inicial,Pretest,74.63890596189306
480,Inicial,Pretest,74.63890596189306
481,Inicial,Pretest,74.63122311001844
482,Inicial,Pretest,74.46220036877689
483,Inicial,Pretest,74.40073755377998
484,Inicial,Pretest,74.40073755377998
485,Inicial,Pretest,74.40073755377998
486,Inicial,Pretest,74.40073755377998
487,Inicial,Pretest,74.40073755377998
488,Inicial,Pretest,74.40073755377998
489,Inicial,Pretest,74.40073755377998
490,Inicial,Pretest,74.40073755377998
491,Inicial,Pretest,74.40073755377998
492,Inicial,Pretest,74.40073755377998
493,Inicial,Pretest,74.40073755377998
494,Inicial,Pretest,74.37768899815612
495,Inicial,Pretest,74.25476336816226
496,Inicial,Pretest,74.20866625691455
497,Inicial,Pretest,74.18561770129071
498,Inicial,Pretest,74.17793484941609
499,Inicial,Pretest,74.17793484941609
500,Inicial,Pretest,74.1318377381684
501,Inicial,Pretest,74.1318377381684
502,Inicial,Pretest,73.9858635525507
503,Inicial,Pretest,73.95513214505225
504,Inicial,Pretest,73.95513214505225
505,Inicial,Pretest,73.95513214505225
506,Inicial,Pretest,73.91671788567915
507,Inicial,Pretest,73.89366933005532
508,Inicial,Pretest,73.89366933005532
509,Inicial,Pretest,73.89366933005532
510,Inicial,Pretest,73.89366933005532
511,Inicial,Pretest,73.80147510755992
512,Inicial,Pretest,73.77074370006144
513,Inicial,Pretest,73.77074370006144
514,Inicial,Pretest,73.67854947756605
515,Inicial,Pretest,73.67086662569145
516,Inicial,Pretest,73.6555009219422
517,Inicial,Pretest,73.58635525507069
518,Inicial,Pretest,73.48647818070067
519,Inicial,Pretest,73.48647818070067
520,Inicial,Pretest,73.48647818070067
521,Inicial,Pretest,73.4480639213276
522,Inicial,Pretest,73.4480639213276
523,Inicial,Pretest,73.38660110633066
524,Inicial,Pretest,73.38660110633066
525,Inicial,Pretest,73.38660110633066
526,Inicial,Pretest,73.38660110633066
527,Inicial,Pretest,73.38660110633066
528,Inicial,Pretest,73.38660110633066
529,Inicial,Pretest,73.38660110633066
530,Inicial,Pretest,73.38660110633066
531,Inicial,Pretest,73.38660110633066
532,Inicial,Pretest,73.38660110633066
533,Inicial,Pretest,73.17148125384142
534,Inicial,Pretest,72.99477566072525
535,Inicial,Pretest,72.99477566072525
536,Inicial,Pretest,72.99477566072525
537,Inicial,Pretest,72.93331284572834
538,Inicial,Pretest,72.9102642901045
539,Inicial,Pretest,72.87953288260603
540,Inicial,Pretest,72.87953288260603
541,Inicial,Pretest,72.87953288260603
542,Inicial,Pretest,72.81038721573448
543,Inicial,Pretest,72.78733866011063
544,Inicial,Pretest,72.71051014136448
545,Inicial,Pretest,72.71051014136448
546,Inicial,Pretest,72.71051014136448
547,Inicial,Pretest,72.71051014136448
548,Inicial,Pretest,72.52612169637369
549,Inicial,Pretest,72.47234173325138
550,Inicial,Pretest,72.47234173325138
551,Inicial,Pretest,72.4262446220037
552,Inicial,Pretest,72.4262446220037
553,Inicial,Pretest,72.37246465888137
554,Inicial,Pretest,72.37246465888137
555,Inicial,Pretest,72.37246465888137
556,Inicial,Pretest,72.37246465888137
557,Inicial,Pretest,72.37246465888137
558,Inicial,Pretest,72.37246465888137
559,Inicial,Pretest,72.37246465888137
560,Inicial,Pretest,72.37246465888137
561,Inicial,Pretest,72.37246465888137
562,Inicial,Pretest,72.37246465888137
563,Inicial,Pretest,72.37246465888137
564,Inicial,Pretest,72.37246465888137
565,Inicial,Pretest,72.37246465888137
566,Inicial,Pretest,72.33405039950831
567,Inicial,Pretest,72.30331899200984
568,Inicial,Pretest,72.28027043638599
569,Inicial,Pretest,72.28027043638599
570,Inicial,Pretest,72.25722188076213
571,Inicial,Pretest,72.20344191763982
572,Inicial,Pretest,72.04210202827288
573,Inicial,Pretest,72.03441917639827
574,Inicial,Pretest,72.03441917639827
575,Inicial,Pretest,72.03441917639827
576,Inicial,Pretest,72.03441917639827
577,Inicial,Pretest,72.01137062077443
578,Inicial,Pretest,71.79625076828519
579,Inicial,Pretest,71.77320221266135
580,Inicial,Pretest,71.77320221266135
581,Inicial,Pretest,71.74247080516287
582,Inicial,Pretest,71.65027658266749
583,Inicial,Pretest,71.5580823601721
584,Inicial,Pretest,71.4658881376767
585,Inicial,Pretest,71.4658881376767
586,Inicial,Pretest,71.4658881376767
587,Inicial,Pretest,71.4658881376767
588,Inicial,Pretest,71.4658881376767
589,Inicial,Pretest,71.419791026429
590,Inicial,Pretest,71.419791026429
591,Inicial,Pretest,71.41210817455439
592,Inicial,Pretest,71.41210817455439
593,Inicial,Pretest,71.41210817455439
594,Inicial,Pretest,71.319913952059
595,Inicial,Pretest,71.25076828518746
596,Inicial,Pretest,71.24308543331284
597,Inicial,Pretest,71.24308543331284
598,Inicial,Pretest,71.05101413644745
599,Inicial,Pretest,71.05101413644745
600,Inicial,Pretest,71.05101413644745
601,Inicial,Pretest,71.02028272894898
602,Inicial,Pretest,71.00491702519975
603,Inicial,Pretest,70.95881991395206
604,Inicial,Pretest,70.95113706207744
605,Inicial,Pretest,70.95113706207744
606,Inicial,Pretest,70.95113706207744
607,Inicial,Pretest,70.81284572833435
608,Inicial,Pretest,70.81284572833435
609,Inicial,Pretest,70.81284572833435
610,Inicial,Pretest,70.81284572833435
611,Inicial,Pretest,70.81284572833435
612,Inicial,Pretest,70.81284572833435
613,Inicial,Pretest,70.7821143208359
614,Inicial,Pretest,70.7821143208359
615,Inicial,Pretest,70.77443146896127
616,Inicial,Pretest,70.71296865396435
617,Inicial,Pretest,70.61309157959435
618,Inicial,Pretest,70.52858020897357
619,Inicial,Pretest,70.52858020897357
620,Inicial,Pretest,70.45175169022741
621,Inicial,Pretest,70.45175169022741
622,Inicial,Pretest,70.41333743085434
623,Inicial,Pretest,70.28272894898585
624,Inicial,Pretest,70.27504609711124
625,Inicial,Pretest,70.27504609711124
626,Inicial,Pretest,70.27504609711124
627,Inicial,Pretest,70.25968039336202
628,Inicial,Pretest,70.21358328211433
629,Inicial,Pretest,70.21358328211433
630,Inicial,Pretest,70.21358328211433
631,Inicial,Pretest,70.19053472649047
632,Inicial,Pretest,69.99078057775046
633,Inicial,Pretest,69.99078057775046
634,Inicial,Pretest,69.99078057775046
635,Inicial,Pretest,69.97541487400122
636,Inicial,Pretest,69.86785494775661
637,Inicial,Pretest,69.85248924400736
638,Inicial,Pretest,69.77566072526122
639,Inicial,Pretest,69.77566072526122
640,Inicial,Pretest,69.72956361401353
641,Inicial,Pretest,69.70651505838967
642,Inicial,Pretest,69.70651505838967
643,Inicial,Pretest,69.70651505838967
644,Inicial,Pretest,69.66041794714197
645,Inicial,Pretest,69.60663798401967
646,Inicial,Pretest,69.59127228027043
647,Inicial,Pretest,69.58358942839581
648,Inicial,Pretest,69.58358942839581
649,Inicial,Pretest,69.58358942839581
650,Inicial,Pretest,69.58358942839581
651,Inicial,Pretest,69.56054087277195
652,Inicial,Pretest,69.56054087277195
653,Inicial,Pretest,69.52980946527352
654,Inicial,Pretest,69.49139520590042
655,Inicial,Pretest,69.48371235402581
656,Inicial,Pretest,69.31468961278426
657,Inicial,Pretest,69.31468961278426
658,Inicial,Pretest,69.31468961278426
659,Inicial,Pretest,69.31468961278426
660,Inicial,Pretest,69.31468961278426
661,Inicial,Pretest,69.29932390903502
662,Inicial,Pretest,69.22249539028887
663,Inicial,Pretest,69.19944683466503
664,Inicial,Pretest,69.19944683466503
665,Inicial,Pretest,69.19944683466503
666,Inicial,Pretest,69.19944683466503
667,Inicial,Pretest,69.12261831591887
668,Inicial,Pretest,69.07652120467117
669,Inicial,Pretest,69.05347264904732
670,Inicial,Pretest,69.03042409342349
671,Inicial,Pretest,68.9382298709281
672,Inicial,Pretest,68.88444990780577
673,Inicial,Pretest,68.80762138905962
674,Inicial,Pretest,68.7922556853104
675,Inicial,Pretest,68.7922556853104
676,Inicial,Pretest,68.71542716656424
677,Inicial,Pretest,68.71542716656424
678,Inicial,Pretest,68.69237861094038
679,Inicial,Pretest,68.69237861094038
680,Inicial,Pretest,68.69237861094038
681,Inicial,Pretest,68.69237861094038
682,Inicial,Pretest,68.69237861094038
683,Inicial,Pretest,68.69237861094038
684,Inicial,Pretest,68.62323294406885
685,Inicial,Pretest,68.600184388445
686,Inicial,Pretest,68.600184388445
687,Inicial,Pretest,68.600184388445
688,Inicial,Pretest,68.53103872157345
689,Inicial,Pretest,68.53103872157345
690,Inicial,Pretest,68.53103872157345
691,Inicial,Pretest,68.53103872157345
692,Inicial,Pretest,68.53103872157345
693,Inicial,Pretest,68.53103872157345
694,Inicial,Pretest,68.53103872157345
695,Inicial,Pretest,68.53103872157345
696,Inicial,Pretest,68.53103872157345
697,Inicial,Pretest,68.53103872157345
698,Inicial,Pretest,68.53103872157345
699,Inicial,Pretest,68.53103872157345
700,Inicial,Pretest,68.53103872157345
701,Inicial,Pretest,68.53103872157345
702,Inicial,Pretest,68.53103872157345
703,Inicial,Pretest,68.52335586969883
704,Inicial,Pretest,68.52335586969883
705,Inicial,Pretest,68.52335586969883
706,Inicial,Pretest,68.52335586969883
707,Inicial,Pretest,68.51567301782421
708,Inicial,Pretest,68.47725875845114
709,Inicial,Pretest,68.43116164720344
710,Inicial,Pretest,68.33896742470806
711,Inicial,Pretest,68.23909035033805
712,Inicial,Pretest,68.14689612784267
713,Inicial,Pretest,68.14689612784267
714,Inicial,Pretest,68.14689612784267
715,Inicial,Pretest,68.09311616472033
