,Estrato,Genero,Promedio del Puntaje
0,1-2,Femenino,36.42917314056816
1,1-2,Masculino,36.385426400557314
2,3-4,Femenino,33.19693681487462
3,3-4,Masculino,31.540657525172385
4,5-6,Femenino,29.713455610015743
5,5-6,Masculino,28.098994334661572
