,Repertorio,Genero,Promedio
0,1,Femenino,0.07897240723120837
1,1,Masculino,0.06942889137737962
2,2,Femenino,0.1203615604186489
3,2,Masculino,0.13045912653975364
4,3,Femenino,0.24881065651760229
5,3,Masculino,0.25699888017917133
6,4,Femenino,0.24310180780209326
7,4,Masculino,0.24188129899216126
8,5,Femenino,0.3087535680304472
9,5,Masculino,0.3012318029115342
