,Etnia,Genero,Promedio del Puntaje
0,Grupo No Étnico,Femenino,0.7237745997948525
1,Grupo No Étnico,Masculino,0.7219979044186944
2,Grupo Étnico,Femenino,0.7235437994687736
3,Grupo Étnico,Masculino,0.6870806925887867
4,Indígena,Femenino,0.6723613023327967
5,Indígena,Masculino,0.7584381971774496
